대상,상품
 상환 기간이 넉넉한 사람들,547
"소득증빙이 되는 직장인들: 페퍼다이렉트론은 소득증빙이 가능한 직장인들을 대상으로 하고 있으므로, 일반적으로 현직 직장인들이 이 대출 상품을 이용할 것 같습니다. ",548
" 공무원들: 페퍼다이렉트론은 공무원도 대상으로 하는 신용대출 상품이므로, 공무원들이 이 대출 상품을 이용할 것 같습니다. ",548
" 프리랜서들: 페퍼다이렉트론은 추정소득으로 상환 가능한 사람들을 대상으로 하고 있으므로, 프리랜서들도 이 대출 상품을 이용할 것 같습니다. ",548
" 전문직들: 페퍼다이렉트론은 추정소득으로 상환 가능한 사람들을 대상으로 하고 있으므로, 전문직들도 이 대출 상품을 이용할 것 같습니다. ",548
" 자영업자들: 페퍼다이렉트론은 추정소득으로 상환 가능한 사람들을 대상으로 하고 있으므로, 자영업자들도 이 대출 상품을 이용할 것 같습니다.",548
소득증빙이 가능한 직장인: 대출 상품을 이용하기 위해서는 소득증빙이 가능한 직장인이 필요하다.,549
 공무원: 대출 상품은 공무원들에게도 매력적일 것이다.,549
 프리랜서: 프리랜서로 일하는 사람들은 상환능력이 확인되는 경우에 대출 상품을 이용할 수 있을 것이다.,549
 전문직: 전문직으로 일하는 사람들은 대출 상품을 이용할 가능성이 높아보인다.,549
 자영업자: 자영업자들은 대출 상품을 이용하여 사업에 대한 자금을 조달할 수 있을 것이다.,549
대상: 현재 국내 고등교육기관에 재학중인 대학생,550
 수입: 생활비를 통해 월별로 일정한 수입이 있는 사람,550
 신용도: 해당 대출 상품을 이용할 만큼 좋은 신용도를 가진 사람,550
 대출 사용 목적: 학비 등 생활비 지출을 위한 대출을 필요로 하는 사람,550
 상환 능력: 대출금을 상환할 수 있는 충분한 수입을 가지고 있는 사람,550
 프리랜서,551
정규직을 가진 직장인,551
 공무원,551
 전문직,551
중저신용거래자로서 신용 대출이 필요한 사람들,552
 서민금융을 이용하는 사람들,552
" 급여소득자, 사업소득자, 연금소득자 중 연수익이 충분한 사람들",552
 소득이 일정 수준 이상인데 대출 한도 내에 들어가는 사람들,552
 매월 원리금을 균등하게 상환하는 것을 편리하게 여기는 사람들,552
공무원: 안정적인 직장을 가지고 있어 신용대출을 이용할 수 있는 충분한 소득을 가지고 있는 사람들이 페퍼스신용대출을 이용할 수 있을 것이다.,553
 프리랜서: 특히 자유로운 일정으로 일하고 소득이 불안정한 프리랜서들은 자신의 추정 소득을 통해 상환 능력을 확인해줄 수 있는 페퍼스신용대출을 이용할 수 있을 것이다.,553
" 전문직: 대출 상품의 대상 상세 내용 중 전문직이 해당되는 사람은 일반적으로 고소득자로 추정되어 대출 한도를 어느 정도 높게 설정할 수 있고, 상환 능력을 갖추고 있을 것이다.",553
 자영업자: 자영업자들은 자기 직접 소득과 자산을 기반으로 대출 한도와 금리가 결정되기 때문에 신용대출 상품을 이용하기에 적합하다.,553
 직장인: 대출을 통해 다양한 용도로 자금이 필요한 직장인은 페퍼스신용대출을 이용할 수 있을 것이다. 특히 소득이 안정적인 직장인들은 상환 능력을 자체적으로 증명하기 쉬울 것이다.,553
공무원: 고정된 월급으로 상환 능력이 있는 사람,554
 직장인: 정규직이나 계약직으로 안정적인 소득을 가진 사람,554
 프리랜서: 자유로운 일정과 수입을 가진 사람,554
 전문직: 전문적인 기술이나 지식을 가진 사람,554
 자영업자: 사업을 운영하여 수입이 있는 사람,554
사회적 경제에 관심이 있는 기업을 운영하는 사람들,555
 사회적 가치를 추구하는 기업의 임직원,555
 사회적문제를 개선하고자 하는 사회적기업가,555
 사회적 기업의 사업 확장을 위해 자금이 필요한 사람들,555
 사회적인 영향을 끼치기 위해 자금을 필요로 하는 단체 및 단체 대표진,555
직장인 중에서도 건강보험 가입자인 사람들,556
 간편하고 빠른 대출을 선호하는 사람들,556
 모바일 앱을 이용하여 대출을 원하는 사람들,556
 소득증빙이나 서류 제출에 부담을 느끼는 사람들,556
 낮은 금리가 중요시되는 사람들,556
직장에서 근무하고 있는 19세 이상의 직장인,557
 공인인증서로 간편하게 모바일로 대출을 신청하고자 하는 사람,557
 별도의 서류 제출 없이 대출을 받고 싶어하는 사람,557
 직접 은행에 방문하지 않고 온라인으로 대출을 처리하고자 하는 사람,557
 낮은 금리로 대출을 받아 상환 기간을 조절하고자 하는 사람,557
"소득증빙이 가능한 직장인: 페퍼신용대출은 소득증빙이 필요한 대출 상품이므로, 정규직 직장인이 이 상품을 이용할 수 있습니다.",558
" 공무원: 공무원도 페퍼신용대출을 이용할 수 있으며, 안정적인 고정 수입을 가지고 있으므로 자격이 맞는 대상입니다.",558
" 프리랜서: 페퍼신용대출은 소득증빙을 요구하기 때문에 프리랜서도 해당 상품을 이용할 수 있습니다. 다만, 소득 확인이 명확한 경우에 한정됩니다.",558
 전문직: 페퍼신용대출은 전문직에게도 대출 한도를 제공합니다. 전문성이 인정되는 직업군 중에서 해당 상품을 이용할 수 있습니다.,558
" 자영업자: 소득증빙이 가능한 자영업자도 페퍼신용대출을 이용할 수 있습니다. 단, 소득액과 신용등급에 따라 대출 한도가 다를 수 있습니다.",558
중저 신용거래자로서 서울보증보험 연계 중금리 대출이 필요한 사람,559
 연소득이 12백만원 이상인 재직 급여소득자로서 재직기간이 5개월 이상인 사람,559
 연소득이 6백만원 이상인 사업 소득자로서 사업기간이 4개월 이상인 사람,559
 연소득이 6백만원 이상인 연금 소득자로서 연금 소득을 1회 이상 수령한 사람,559
 대출 상환을 매월 원리금 균등분할로 할 수 있는 사람,559
아파트를 소유한 개인사업자로서 사업운영자금을 마련하기 위해 대출을 이용하고자 하는 사람,560
 사업자등록을 하고 영업중인 법인으로서 주택을 보유하고 있는 사람,560
 주택을 본인명의로 소유하고 있으며 개인사업자로 영업 중인 사람,560
 주택을 공동소유하고 있는 개인사업자로서 사업 운영 자금이 필요한 사람 (배우자와 공동소유 포함),560
" 다른 사람의 주택을 담보로 제공할 수 있는 사람 (단, 타인의 명의를 이용한 신용공여로 판단되는 경우는 허용되지 않음)",560
주택을 보유한 개인사업자 중에 선순위 담보대출이 있어도 추가 대출을 받고 싶은 사람,561
 주택을 보유하고 있는 법인이나 개인사업자로서 사업자등록을 한 사람,561
 주택담보대출을 통해 최대 15억까지 대출 받고자 하는 사람,561
 대출 상환 방법을 최대 5년까지 선택하고 싶은 사람,561
 주택을 담보로 대출 받기 원하는 사람 중에 만 19세 이상이고 대한민국 거주자인 사람,561
소득증빙이 가능한 직장인들 중에서 특히 높은 금액의 대출을 원하는 사람들,562
 공무원으로서 안정적인 소득을 받고 있는 사람들,562
 프리랜서로 소득을 발생시키는 사람들,562
 전문직으로 일하면서 안정적인 소득을 받고 있는 사람들,562
" 자영업자로 소득을 발생시키는 사람들, 단 상환능력을 확보할 수 있는 사람들",562
만 19세 이상이며 3개월 이상 4대 보험에 가입된 직장인들이 대출 상품을 이용할 것 같습니다.,563
 중금리로 제공되는 상품이므로 이자율이 상대적으로 낮은 대출을 찾고 있는 사람들이 대출 상품을 이용할 것 같습니다.,563
 최대 1억 원까지 대출 가능한 대출 상품이므로 큰 금액을 필요로 하는 사람들이 대출 상품을 이용할 것 같습니다.,563
 상상인 저축은행에서 제공하는 상품이므로 그 은행을 이용하거나 신뢰하는 사람들이 대출 상품을 이용할 것 같습니다.,563
 원리금 균등분할상환이나 만기일시상환 등 다양한 상환방법이 제공되므로 상환 조건이 다양하게 맞을 수 있는 사람들이 대출 상품을 이용할 것 같습니다.,563
차를 소유하고 있는 만 19세 이상의 고객,564
 자동차를 담보로 대출을 받고 싶은 고객,564
 자동차를 공동명의로 소유하고 있는 고객,564
 대출 한도가 최대 8000만원을 원하는 고객,564
 최장 60개월 이내로 상환할 수 있는 고객,564
현재 직장에 근무하고 있는 직장인들,565
 4대보험에 가입되어 있는 직장인들,565
" 19세 이상이고, 최소 6개월 이상 현재 직장에 다니고 있는 직장인들",565
 신용대출을 필요로 하는 사람들,565
 상상인 저축은행에서 대출을 받고 싶은 사람들,565
직장인인 30대 내국인 고객,566
 직장인이며 신용등급이 높은 고객,566
 대출금액이 500만원 이상 1천만원 이하인 고객,566
 상환 기간이 36개월 이상인 고객,566
 대출금액이 2000만원 이상인 고객,566
바빌론에서 근무하는 직장인들 중 신용등급이 우수한 고객들,567
 금리가 비교적 높은 상품을 희망하는 사람들,567
 대출한도가 100만원부터 10000만원까지 가능한 사람들,567
 원리금 균등분할 상환 방식을 선호하는 사람들,567
 장기 상환 기간을 원하는 사람들 (최대 60개월까지 가능),567
직장인의 고객 중에서 타 기관 신용대출을 이용 중인 사람들,568
 23세부터 60세까지의 내국인들,568
 대출금액이 100만원부터 3000만원까지 필요한 사람들,568
 원리금균등분할상환을 희망하는 사람들,568
 상환 기간이 최대 100개월까지 가능한 사람들,568
SBI 중금리 대출 상품은 최대 1억원까지 대출 가능하며 대출금리는 연 5.9% ~ 연 18.9%이다.,569
 이 대출 상품은 직장인과 자영업자를 대상으로 한다.,569
" 상환 방법은 12개월부터 100개월까지 선택할 수 있으며, 원리금 균등분할상환 방식을 채택한다.",569
" 대출 신청은 인터넷을 통해 가능하며, 보증과 방문이 필요하지 않다.",569
 대출 한도는 최소 100만원에서 최대 1억원까지 설정할 수 있다.,569
대출 상품을 이용할 사람들은 금전적인 필요성을 느끼고 있는 분들일 것이다.,570
 신용 대출 상품을 이용하기 위해서는 신용평가가 좋은 사람들이 선택할 수 있을 것이다.,570
 대출한 금액을 상환할 자신의 재정상태가 안정적인 사람들은 대출상품을 선택할 가능성이 높아질 것이다.,570
 무엇보다 대출이 필요한 목적이 명확하게 정리되어 있는 사람들일 것이다.,570
 SBI와 관련된 상품에 관심이 있는 사람들이 대출 상품을 선택할 수 있을 것이다.,570
만 23~60세의 직장인이고 신용점수(NICE 기준) 360점 이상을 가진 사람들,571
 인터넷으로 신청 가능한 사람들,571
 최대 1억까지 대출을 원하는 사람들,571
 원리금균등분할상환 방식을 선호하는 사람들,571
 대출 상품이 중금리에 해당하여 저금리를 원하는 사람들,571
직장에서 근무하고 있는 25세의 급여소득자인 사람은 이 대출 상품을 이용할 것 같습니다. ,572
 공무원으로 근무하고 있는 30세의 사람은 이 대출 상품을 이용할 것 같습니다. ,572
 정부투자기관에서 일하고 있는 35세의 사람은 이 대출 상품을 이용할 것 같습니다. ,572
 군인으로 복무하고 있는 28세의 사람은 이 대출 상품을 이용할 것 같습니다. ,572
 NICE 신용점수가 370점으로 나오는 23세의 사람은 이 대출 상품을 이용할 것 같습니다.,572
소액의 금액이 필요한 대출을 원하는 사람,573
 신청 후 빠른 시일 내에 돈이 필요한 사람,573
" 신용대출을 받을 수 있는 조건을 충족하는 사람(만 20세 이상, NICE 기준 350점 이상의 신용점수)",573
 연이율이 비교적 높더라도 빠르게 대출을 받아야 하는 사람,573
 원리금균등분할상환 방식으로 상환해도 무리가 없는 사람,573
주부로서 가정을 책임지고 있는 만 22세 이상의 여성,574
 신용점수(NICE 기준)가 350점 이상인 사람,574
 주민등록초본상 세대주가 배우자 이어야 함,574
 대출금액을 최소 100만원 ~ 최대 500만원까지 신청하고자 하는 사람,574
 상환 기간은 12개월부터 36개월까지 원리금 균등분할로 상환할 수 있는 사람,574
주택을 소유하고 있는 직장인,575
 만 20세 이상,575
 신용점수(NICE 기준) 350점 이상,575
 대출금액이 5000만원 이하인 사람,575
" 상환기간이 12개월 이상, 120개월 이하인 사람",575
사업을 하려는 사람들,576
 자영업자나 소상공인들,576
 재정적으로 어려움을 겪는 사람들,576
 창업자금을 필요로 하는 사람들,576
 다른 금융기관으로부터 대출이 어려운 사람들,576
타 기관 신용대출을 이용 중인 우량 직장인 고객이 해당 대출 상품을 이용할 것이다.,577
 대출한도가 최대 6000만원까지 되기 때문에 큰 금액을 필요로 하는 사람들이 이 상품을 이용할 것이다.,577
 연령대가 23세부터 60세까지이기 때문에 성인인 직장인들이 이 대출 상품을 이용할 것이다.,577
 신용점수가 350점 이상이기 때문에 신용등급이 높은 사람들이 이 상품을 이용할 것이다.,577
 원리금균등분할상환 방식으로 대출을 상환하기 때문에 이 방식에 편리하게 상환할 수 있는 사람들이 이 대출 상품을 이용할 것이다.,577
재직 기간이 5개월 이상이고 연 소득이 1200만원 이상인 직장인들,578
 사업 기간이 4개월 이상이고 연 소득이 600만원 이상인 자영업자들,578
 연금을 1회 이상 수령하고 연 소득이 600만원 이상인 연금 수령자들,578
 대출 상품 최대 금액인 2000만원을 대출 받을 수 있는 사람들,578
 8.9%에서 19.9% 사이의 약정 금리를 수용할 수 있는 사람들,578
"젊은 직장인들: 만 20세 이상이며, 대출한도가 100 만원 이상인 사람들이 대출상품을 이용할 가능성이 큽니다.",579
 좋은 신용등급을 가진 직장인들: 신용등급 1등급부터 8등급까지의 사람들 중에서도 대출을 이용할 사람들이 있을 것입니다.,579
 금리가 상대적으로 높은 불안정한 경제적 상황에 처한 사람들: 금리가 8.9%에서 19.9%까지 변동될 수 있으므로 금융적으로 불안정한 사람들이 대출을 필요로 할 것입니다.,579
" 금전적으로 여유가 있는 사람들: 최대 300 만원까지 대출 가능하며, 상환 기간은 최대 18개월로 금전적 여유가 있는 사람들이 이용할 수 있습니다.",579
 원리금 균등분할상환을 선호하는 사람들: 원리금이 균등하게 상환되는 12개월 또는 18개월 동안 대출금을 갚을 수 있는 사람들이 이용할 수 있습니다.,579
추가 자금이 필요한 직장인들,580
 대출 가능한 최대 금액인 5000만원 이하를 필요로 하는 사람들,580
9%인 대출 상품을 찾고 있는 사람들,580
 상환 방법이 원리금 균등 분할 상환인 대출을 원하는 사람들,580
" 대출금액에 따라 12개월, 24개월, 36개월, 48개월, 60개월 중 하나의 기간을 선택할 수 있는 사람들",580
바빌론 직장인 상품을 이용하는 우수고객,581
 대출한도가 100 만원 ~ 10000 만원인 사람,581
 신용등급에 따라 차등적용되는 금리를 받을 수 있는 사람,581
 원리금균등분할상환 상환방법을 선호하는 사람,581
 대출금액이 500만원 이상인 사람,581
개인신용평점이 하위 20%인데 창업자금이 필요한 사업자,582
 무등록 사업자로서 대출을 받을 수 있는 금융상품에 관심을 가진 사람,582
 금융취약계층에 속하면서 창업을 하려는 사람,582
" 최대 5,000,000원까지 대출 받을 수 있는 사업자",582
 낮은 금리(2%)로 대출을 받을 수 있는 창업자금이 필요한 사람,582
 신용등급이 높은 고객,583
바빌론 상품을 기거래하고 있는 우수 고객,583
 추가 자금이 필요한 고객 중에서 100만원 이상 대출 가능한 고객,583
 상환 기간이 길어도 꾸준히 원리금을 상환할 수 있는 고객,583
 금리가 높더라도 금전적 여유가 있는 고객,583
바빌론 상품을 자주 이용하는 우수 고객들,584
 소득증빙 가능한 직장인들,584
 대출금액이 100만원에서 1500만원 사이인 사람들,584
 신용등급이 높은 사람들,584
 상환 기간이 1년에서 5년인 대출을 원하는 사람들,584
근로자이며 약간의 추가 자금이 필요한 사람들,585
 신용도가 높고 이자율이 낮은 대출 상품을 찾는 사람들,585
 월 상환액이 작은 원금균등분할상환 방식을 선호하는 사람들,585
 대출한도가 최대 1500만원인 상품을 원하는 사람들,585
 장기적으로 상환할 수 있는 3년 또는 5년의 상환 기간을 선택하고 싶은 사람들,585
만 23~60세의 직장인,586
 신용점수(NICE 기준) 360점 이상을 가진 사람,586
 대출한도가 최소 100만원 이상인 사람,586
 원리금 균등 분할 상환 방식을 원하는 사람,586
"최근 채무조정 졸업한 직장인: 3년 이내에 채무조정 졸업한 사람으로서, 실효성 있는 대출 상품을 찾고 있는 사람",587
" 고소득자: 직장인 연소득이 1500만원 이상인 사람으로서, 높은 대출 한도를 필요로 하는 사람",587
" 자재직 근로자: 자재직으로 근무한 경력이 5개월 이상인 사람으로서, 일시적인 급전이 필요한 사람",587
" 사잇돌 대출 이용 경험 없는 사람: 사잇돌 대출을 이전에 이용한 적이 없는 사람으로서, 새로운 대출 상품을 찾고 있는 사람",587
" 원리금균등분할상환을 선호하는 사람: 대출 상환 방법으로 원리금균등분할상환을 선호하는 사람으로서, 매월 균등한 금액을 갚고 싶은 사람",587
대출 상품을 이용할 것 같은 사람들은 직장인으로서 안정적인 소득을 가지고 있는 사람들이다.,588
 대출 상품을 이용할 것 같은 사람들은 사업을 운영하는 사업자들이다.,588
 대출 상품을 이용할 것 같은 사람들은 자유로운 일정을 가지고 있는 프리랜서들이다.,588
 대출 상품을 이용할 것 같은 사람들은 금리가 고정되어있는 대출 상품을 선호하는 사람들이다.,588
 대출 상품을 이용할 것 같은 사람들은 매달 일정한 금액을 원리금 좌우로 상환할 수 있는 사람들이다.,588
근로자로서 재직기간이 3개월 이상인 사람,589
 연소득이 4500만원 이하인 사람 (연소득이 3500만원 이하인 경우에는 1~9등급 근로자),589
 신용등급이 6-9등급인 사람,589
 해오름햇살론 잔액을 보유한 사람으로 최종 취급일로부터 1년이 경과한 사람,589
 연체일수가 10일 이내로 적은 우수거래자,589
저신용 및 저소득의 자영업자들이 이 대출 상품을 이용할 것이다.,590
 운영 자금이 필요한 자영업자들이 이 대출 상품을 이용할 것이다.,590
 거래 이력과 신용도에 따라 대출 한도가 가중 부여되므로 신용도가 낮은 자영업자들이 이 대출 상품을 이용할 것이다.,590
 금리가 낮은 편이므로 이 대출 상품은 이자 부담을 줄이고 싶은 자영업자들이 선택할 것이다.,590
 상환 방법이 원금 균등 분할 상환으로 좋은 혜택이 있는 자영업자들이 이 대출 상품을 이용할 것이다.,590
 연소득금액이 4500만원 이하인 자영업자,591
3개월 이상 사업운영을 하고 있는 자영업자,591
 신용등급 6~9등급인 자영업자 (연소득금액 3500만원 이하인 경우 1~9등급 자영업자),591
 정부 공공기관에서 진행한 창업교육 컨설팅 교육을 이수한 자영업자,591
 자영업자에게 필요한 창업자금을 원하는 사람들,591
자영업을 하고 있는 사람들 중 연소득이 3500만원 이하이고 신용등급이 1~9등급인 사람들,592
 고금리 채무를 상환 중인 자영업자들,592
 최대 3000만원까지 대출 한도가 있는 사람들,592
 상환 기간을 5년 내에 선택하는 사람들,592
 원금 균등분할상환 방식으로 대출을 상환하고 싶은 사람들,592
만 23세~60세 사이의 여성 직장인,593
 신용점수(NICE 기준) 360점 이상 보유자,593
 대출 금액이 100만원 이상 1.5억원 이하인 사람,593
 금리에 상관없이 대출을 원하는 사람,593
 대출 상환 기간이 12개월부터 120개월까지 가능하다는 사람,593
"자영업자: 해당 대출 상품은 사업자를 대상으로 한다고 되어 있으므로, 자신의 사업을 운영하고 있는 자영업자들이 이 대출 상품을 이용할 것 같습니다. ",594
" 저소득층: 금융취약계층을 대상으로 한다고 되어 있어, 소득이 낮은 사람들이 이 대출 상품을 이용할 가능성이 있습니다. ",594
" 창업을 고려하는 사람들: '창업자금'이라는 대출 상품 명칭에서 유추할 수 있듯이, 창업을 고려하는 사람들이 이 대출 상품에 관심을 가질 것 같습니다. ",594
" 자금이 부족한 사업자: 대출 한도가 최대 3000만원으로 제한되어 있으므로, 자금이 부족한 사업자들이 이 대출 상품을 선택할 수 있을 것 같습니다. ",594
" 신용 등급이 6~10등급인 사람들: 상품 설명에 따르면, 신용 등급이 6~10등급인 사람들도 해당 대출 상품을 이용할 수 있다고 되어 있으므로, 이들 역시 가능성이 있는 고객층입니다.",594
사업 소득이 있는 개인사업자로서 연소득이 600만원 이상인 사람,595
 직장인으로서 연소득이 1200만원 이상인 사람,595
 연금소득자로서 연금소득이 600만원 이상인 사람,595
 연소득이 1200만원 이상이면서 재직기간이 5개월 이상인 직장인,595
 연소득이 600만원 이상이면서 사업기간이 4개월 이상인 사업 소득자,595
연간 소득이 4500만원 이하인 직장인들,596
 신용등급이 6등급 이하인 사람들,596
 매월 일정 금액의 상환을 원하는 사람들,596
 최대 1500만원까지 대출을 받고 싶은 사람들,596
 3년 또는 5년 동안 상환할 수 있는 사람들,596
 연 ,597
나오론에 재직하고 있으며 연소득이 2400만원 이상인 직장인,597
 신용점수가 560점 이상인 사람,597
 중금리 대출 상품을 찾고 있는 사람,597
 상환 기간이 12개월부터 60개월까지 가능한 사람,597
신용점수가 560점 이상인 직장인,598
 대출금액이 1억원 이하인 사람,598
 금리가 최저 5.9%인 대출을 원하는 사람,598
 대출금을 12개월부터 60개월까지 상환할 수 있는 사람,598
 원금과 이자를 일정한 금액으로 상환하는 원리금균등분할상환 방식을 선호하는 사람,598
근로자 중에서도 월급이 상대적으로 높은 사람들,599
 사업자 중에서도 운영기간이 오래된 사람들,599
 연금소득자 중에서도 연금 수령액이 상대적으로 높은 사람들,599
 금융 기관에서 대출한도를 상승시켜주는 사람들,599
주부로서 가정 경제를 도와야 하는 사람들,600
 프리랜서로서 일시적인 현금 필요가 있는 사람들,600
 자영업자로서 사업을 키우거나 확장하기 위한 자금이 필요한 사람들,600
" 소득이 일정하고, 신용점수가 560점 이상인 사람들",600
 대출금액이 1백만원 이상 30백만원 이내로 필요한 사람들,600
소득증빙이 가능한 직업에 종사하는 성인 고객,601
 중금리 대출 상품을 원하는 고객,601
 최대 1억원까지 대출을 받고자 하는 고객,601
 10%대 중금리로 대출을 받고자 하는 고객,601
 상환기간이 최대 60개월인 대출 상품을 찾는 고객,601
BC카드 가맹점을 운영하면서 일반신용대출 신용평가에 부합하는 개인사업자,602
 BC카드 가맹점을 운영하고 있으며 부동산을 보유한 중신용대출 신용평가에 부합하는 개인사업자,602
 3개월 이상 BC카드 가맹점을 운영하며 일반신용대출 신용평가에 부합하는 개인사업자,602
 3년 이상 BC카드 가맹점을 운영하거나 부동산을 보유한 중신용대출 신용평가에 부합하는 개인사업자,602
 BC카드 가맹점을 운영하면서 신용평가에 부합하는 개인사업자,602
 상환기간이 12개월 이상인 사람,603
직장인이며 BC카드를 사용하는 사람,603
 신용도가 좋은 사람으로 대출 조건에 제한이 없는 사람,603
 최대 5000만원까지 대출 가능한 사람,603
 금리 할인 혜택을 받을 수 있는 BCgood 우대코드를 가진 사람,603
현 직장에서 6개월 이상 재직하고 국민건강보험에 가입된 사람들,604
 아파트를 소유한 사람들,604
 당사 기준에 따라 대출 한도를 산정받는 사람들,604
 소득이 있는 사람들,604
 300만원 이상 7000만원 이하 대출을 원하는 사람들,604
아파트를 소유한 본인과 배우자가 있는 고객,605
 대출한도가 최소 300만원 이상인 고객,605
 금리가 최저 5%대인 대출을 찾고 있는 고객,605
 대출금액이 최대 2억원까지 가능한 고객,605
 상환기간이 12개월 이상인 대출을 원하는 고객,605
자동차를 소유한 사람 중에 대출을 필요로 하는 사람들,606
 차량을 담보로 대출을 받고 싶은 사람들,606
 자동차 소유기간이 3개월 이상인 사람들,606
" 승용차, RV, 승합차 중에서 10년 이내 차량을 소유한 사람들",606
 대출 금리가 낮은 상품을 찾고 있는 사람들,606
 만 19세 이상인 사람,607
"직업 소득과 관계없이 대한민국 국민이며, 보험증권 발급이 가능한 사람",607
 서울보증보험(주) 신용등급 3등급 소유자,607
 최소 50만원부터 최대 300만원까지 대출 가능한 사람,607
 대출금을 1년 내에 만기일시상환하는 사람 (마이너스 통장으로 상환),607
직장인 중에서도 고소득층에 속하는 사람들은 함께드림론의 대출 상품을 이용할 것으로 예상된다.,608
 금리가 낮은 대출상품을 찾는 사람들은 함께드림론을 고려할 수 있다.,608
 대출한도가 300만원 이상인 사람들은 함께드림론의 대출 상품을 이용할 필요가 있다.,608
 대출금을 12개월 이상 72개월 내에 원리금 균등 상환할 수 있는 사람들은 함께드림론을 고려할 수 있다.,608
 대출 상환 능력을 가진 사람들 중에서도 최대 5000만원까지 대출받고 싶은 사람들은 함께드림론을 고려할 수 있다.,608
저신용자: 신용등급이 낮아서 다른 대출 상품에 접근하기 어려운 사람들,609
 저소득자: 연간 근로소득금액이 4천5백만원 이하인 사람들,609
 서민: 저신용과 저소득을 포함한 일반적인 서민들,609
 햇살론 대상자: 햇살론 상품을 이용할 수 있는 조건을 충족하는 사람들,609
 소득 대비 대출한도 낮은 사람들: 연간 근로소득금액이 낮아서 최대 1500만원 이내의 대출만 가능한 사람들,609
 자영업자,610
저소득/저신용 고객,610
 직장인,610
 대출 금액이 3백만 원 이상 1천500만 원 이하인 사람,610
" 상환 방법이 원금균등분할상환으로, 매월 후취하는 사람",610
근로자로 현재 일자리가 있는 사람들,611
 대학생 및 청년으로 학업이나 창업 등으로 자금이 필요한 사람들,611
 월 소득이 일정 수준 이상인 사람들,611
 신용등급이 어느 정도 수준인 사람들,611
 현재 소득을 가지고 있지만 갑작스러운 경제적 어려움에 처한 사람들,611
청년들 중에서 자기직업을 가지고 있는 사람들,612
 20대에서 30대 사이의 근로자들,612
 청년기업가 혹은 창업을 고려하는 사업자들,612
 자신의 주택을 갖기 위해 자금이 필요한 사람들,612
 저금리 대출 상품을 찾고 있는 사람들,612
사업을 준비하고 있는 자였던 사람들,613
 현재 금융적으로 취약한 상태에 있는 사람들,613
 민간 사업을 수행하고자 하는 사업자,613
 창업자금이 필요한 사람들,613
 주변지인들과 함께 더불어 사는 사람들,613
자영업을 하는 사람들 중에 경영 현황을 개선하고자 하는 사람들,614
 소상공인으로 사업을 운영하며 추가 자금이 필요한 사람들,614
 급전이 필요한 근로자,614
 신용 등급이 낮아서 주요 금융회사의 대출 상품을 이용하기 어려운 사람들,614
"신용평가가 낮고, 자금에 어려움을 겪는 취약계층에 속한 사람들",615
 개인신용평점이 하위 20%에 해당하는 사람들,615
 금융 지원을 받기 어려운 계층에 속한 사람들,615
 자금 조달이 필요한 사업자나 자영업자들,615
근로자들 중에서 생활비와 같은 생계자금에 어려움을 겪고 있는 사람들,616
 소득이 안정적인 근로자들,616
 급여 수준에 비해 은행 대출 한도가 부족하여 추가 자금이 필요한 근로자들,616
 긴급한 상황이나 비용이 예상치 못하게 발생한 근로자들,616
 대출을 이용하여 생활비나 소득 보완이 필요한 근로자들,616
20대 청년들 중 월세로 생활하는 사람들,617
 중소기업에 취업한 청년들,617
 자영업을 하고 있는 사업자들,617
 근로자이면서 독립해서 중소기업을 창업하려는 사람들,617
 집을 빌리고 있는 청년들,617
청년 고용 특별자금 대출을 이용할 사람들은 소상공인으로 사업을 운영하는 사람들일 것이다.,618
" 대출 금액이 최대 100,000,000원으로 비교적 큰 금액을 필요로 하는 사람들일 것이다.",618
" 이 대출 상품의 대상은 청년 고용을 증진하기 위한 것이므로, 청년 층의 고용 상황이 취약한 사람들일 것이다.",618
" 대출 이자율이 1.55~1.95%로 비교적 저렴한 편이므로, 이 대출 상품을 이용하려는 사람들은 저렴한 금리를 원하는 경향이 있을 것이다.",618
" 대출 한도가 10,000원으로 비교적 작은 금액이므로, 소상공인들 중에서 적은 금액의 자금을 필요로 하는 사람들일 것이다.",618
신용 점수가 낮은 사람들: 개인신용평점이 KCB 545~1000 & NICE 515~1000 인 고객이 대출을 이용할 것 같습니다.,619
 금융적으로 취약한 계층: 금융취약계층에 해당하는 사람들이 이 대출 상품을 이용할 것 같습니다.,619
 금전적으로 어려움을 겪고 있는 사람들: 대출한도가 10000000으로 소액 대출 상품이므로 금전적으로 어려움을 겪고 있는 사람들이 이 대출 상품을 이용할 것 같습니다.,619
 다른 대출 상품에 대한 접근이 어려운 사람들: 금융취약계층이거나 신용 점수가 낮은 사람들은 다른 대출 상품에 접근하기 어려울 수 있으므로 이 대출 상품을 이용할 가능성이 높습니다.,619
 급전이 필요한 사람들: 소액 대출 상품이므로 금전적인 긴급한 필요가 있는 사람들이 이 대출 상품을 이용할 것 같습니다.,619
청년층에 속하는 근로자들,620
 사업을 운영하는 사업자들,620
 처음으로 직장을 다니는 청년들,620
 집을 구하기 위해 월세를 내고 있는 청년들,620
 부동산 투자를 위해 자금을 조달하려는 청년들,620
근로자 중에서 월급은 높으나 부동산 구매를 위한 자금이 부족한 사람들은 내집마련을 위해 이 대출상품을 이용할 것이다.,621
